source_id,retailer,category,url
noon-mobiles,noon,electronics,https://www.noon.com/egypt-en/electronics-and-mobiles/mobiles-and-accessories/mobiles-20905/
noon-laptops,noon,electronics,https://www.noon.com/egypt-en/electronics-and-mobiles/computers-and-accessories/laptops/
noon-tv,noon,electronics,https://www.noon.com/egypt-en/electronics-and-mobiles/television-and-video/televisions/
noon-audio,noon,electronics,https://www.noon.com/egypt-en/electronics-and-mobiles/portable-audio-and-video/headphones-24056/
noon-smallappliances,noon,electronics,https://www.noon.com/egypt-en/home-and-kitchen/kitchen-and-dining/small-appliances/
noon-women-clothing,noon,fashion,https://www.noon.com/egypt-en/fashion/women-31229/clothing-16021/
noon-men-clothing,noon,fashion,https://www.noon.com/egypt-en/fashion/men-31225/clothing-16066/
noon-shoes,noon,fashion,https://www.noon.com/egypt-en/fashion/women-31229/shoes-17421/
noon-bags,noon,fashion,https://www.noon.com/egypt-en/fashion/women-31229/handbags/
noon-grocery,noon,supermarket,https://www.noon.com/egypt-en/food-cupboard/
noon-beverages,noon,supermarket,https://www.noon.com/egypt-en/food-cupboard/coffee-tea-and-beverages/
noon-cleaning,noon,supermarket,https://www.noon.com/egypt-en/household-supplies/laundry/
noon-beauty,noon,beauty,https://www.noon.com/egypt-en/beauty-and-health/beauty/
noon-fragrance,noon,beauty,https://www.noon.com/egypt-en/beauty-and-health/beauty/fragrance/
noon-health,noon,health,https://www.noon.com/egypt-en/beauty-and-health/health/
noon-sports,noon,sports,https://www.noon.com/egypt-en/sports-and-outdoors/
noon-toys,noon,toys,https://www.noon.com/egypt-en/toys-and-games/
noon-tools,noon,tools,https://www.noon.com/egypt-en/tools-and-home-improvement/
noon-stationery,noon,stationery,https://www.noon.com/egypt-en/office-supplies/
jumia-phones,jumia,electronics,https://www.jumia.com.eg/smartphones/
jumia-laptops,jumia,electronics,https://www.jumia.com.eg/computing-laptops/
jumia-tv,jumia,electronics,https://www.jumia.com.eg/televisions/
jumia-appliances,jumia,electronics,https://www.jumia.com.eg/home-kitchen-appliances/
jumia-women,jumia,fashion,https://www.jumia.com.eg/category-fashion-by-women/
jumia-men,jumia,fashion,https://www.jumia.com.eg/category-fashion-by-men/
jumia-grocery,jumia,supermarket,https://www.jumia.com.eg/groceries/
jumia-beauty,jumia,beauty,https://www.jumia.com.eg/health-beauty/
jumia-health,jumia,health,https://www.jumia.com.eg/health-personal-care/
jumia-sports,jumia,sports,https://www.jumia.com.eg/sporting-goods/
jumia-toys,jumia,toys,https://www.jumia.com.eg/toys-games/
